animal,raw_conc,tissue_weight,body_wt,conc_wt,ZT,genotype,sex,dose,tissue
8AM 10M,17.834,6,29.7,2.972333333,1,WT,male,20.2,brain
8AM 11M,34.579,7.3,31.3,4.736849315,1,WT,male,19.17,brain
8AM 12M,58.49,11.5,33.3,5.086086957,1,WT,male,18.02,brain
8AM 13M,15.521,6.3,30.2,2.463650794,1,WT,male,19.87,brain
8AM 16M,26.872,8,28.4,3.359,1,WT,male,21.13,brain
8AM 17M,8.808,6.2,27.5,1.420645161,1,WT,male,21.82,brain
8AM 21M,48.272,16.7,30.5,2.890538922,1,WT,male,19.7,brain
8AM 22M,38.021,14.3,30.8,2.658811189,1,WT,male,19.5,brain
8AM 23M,29.467,9.4,29.8,3.134787234,1,WT,male,20.1,brain
8AM 24M,59.633,21.3,26.5,2.799671362,1,WT,male,20.4,brain
8AM 25M,84.698,29.6,27.7,2.861418919,1,WT,male,19.5,brain
8AM 26M,47.955,16.5,28.3,2.906363636,1,WT,male,19.1,brain
8AM 27M,67.82,26.9,26.7,2.521189591,1,WT,male,20.2,brain
8AM 28M,36.129,13.9,27.6,2.599208633,1,WT,male,19.6,brain
8AM 29M,22.288,16.4,27.9,1.35902439,1,WT,male,19.4,brain
8AM 30M,56.956,16.3,25.8,3.494233129,1,WT,male,20.9,brain
8AM 31M,82.538,31.7,26.2,2.603722397,1,WT,male,20.6,brain
8AM 10M,780.054,0.1,29.7,7.617714844,1,WT,male,20.2,plasma
8AM 11M,520.772,0.1,31.3,5.085664063,1,WT,male,19.2,plasma
8AM 12M,504.345,0.1,33.3,4.925244141,1,WT,male,18,plasma
8AM 13M,1247.794,0.1,30.2,12.18548828,1,WT,male,19.9,plasma
8AM 16M,468.612,0.1,28.4,4.576289063,1,WT,male,21.1,plasma
8AM 17M,145.263,0.1,27.5,1.418583984,1,WT,male,21.8,plasma
8AM 21M,811.834,0.1,30.5,7.928066406,1,WT,male,19.7,plasma
8AM 22M,538.983,0.1,30.8,5.263505859,1,WT,male,19.5,plasma
8AM 23M,700.978,0.1,29.8,6.845488281,1,WT,male,20.1,plasma
8AM 24M,557.43,0.1,26.5,5.443652344,1,WT,male,20.4,plasma
8AM 25M,534.197,0.1,27.7,5.216767578,1,WT,male,19.5,plasma
8AM 26M,524.607,0.1,28.3,5.123115234,1,WT,male,19.1,plasma
8AM 27M,603.676,0.1,26.7,5.895273438,1,WT,male,20.2,plasma
8AM 28M,547.117,0.1,27.6,5.342939453,1,WT,male,19.6,plasma
8AM 29M,169.333,0.1,27.9,1.653642578,1,WT,male,19.4,plasma
8AM 30M,670.886,0.1,25.8,6.551621094,1,WT,male,20.9,plasma
8AM 31M,600.901,0.1,26.2,5.868173828,1,WT,male,20.6,plasma
1M,56.5895,20.1,27.2,2.81539801,1,Muflox,male,20.6,brain
2M,22.0798,10.3,30.1,2.143669903,1,Muflox,male,18.6,brain
3M,36.7582,13.7,28.7,2.683080292,1,Muflox,male,19.5,brain
4M,49.5114,15.1,25.8,3.278900662,1,Muflox,male,21.7,brain
5M,87.4161,31.4,26.1,2.783952229,1,Muflox,male,20,brain
6M,36.596,14.7,27.3,2.48952381,1,Muflox,male,19.1,brain
7M,41.673,14.3,26.2,2.914195804,1,Muflox,male,19.9,brain
8M,62.896,20.8,23.7,3.023846154,1,Muflox,male,22,brain
9M,35.5456,15.7,27.2,2.264050955,1,Muflox,male,19.2,brain
1M,295.538,0.1,27.2,2.886113281,1,Muflox,male,20.6,plasma
2M,486.5484,0.1,30.1,4.751449219,1,Muflox,male,18.6,plasma
3M,353.2272,0.1,28.7,3.449484375,1,Muflox,male,19.5,plasma
4M,293.2548,0.1,25.8,2.863816406,1,Muflox,male,21.7,plasma
5M,384.4496,0.1,26.1,3.754390625,1,Muflox,male,20,plasma
6M,320.2412,0.1,27.3,3.127355469,1,Muflox,male,19.1,plasma
7M,363.8144,0.1,26.2,3.552875,1,Muflox,male,19.9,plasma
8M,331.524,0.1,23.7,3.237539063,1,Muflox,male,22,plasma
9M,281.2496,0.1,27.2,2.746578125,1,Muflox,male,19.2,plasma
