animal,raw_conc,tissue_weight,body_wt,dose,pgp,bcrp,stage,group,tissue
1M,56.5895,20.1,27.2,20.6,2.42902746,1.036697041,male,male,brain
2M,22.0798,10.3,30.1,18.6,2.699339891,1.248705985,male,male,brain
4M,49.5114,15.1,25.8,21.7,2.9235968,1.150554548,male,male,brain
5M,87.4161,31.4,26.1,20,2.770560244,0.986045068,male,male,brain
6M,36.596,14.7,27.3,19.1,2.464103338,1.204659421,male,male,brain
7M,41.673,14.3,26.2,19.9,2.381759232,1.140783618,male,male,brain
8M,62.896,20.8,23.7,22,3.160079815,1.25025815,male,male,brain
9M,35.5456,15.7,27.2,19.2,2.716076363,1.410455803,male,male,brain
18F,116.927,43.7,21.3,20.4,3.113240528,1.392407745,estrus,highE,brain
19F,15.7652,14.6,22.9,19,3.27642972,1.464734137,estrus,highE,brain
20F,40.6623,11,20.9,20.8,3.427085719,1.366427156,proestrus,highE,brain
21F,43.5806,15.2,20.4,21.3,3.623123556,1.396091721,proestrus,highE,brain
22F,64.0701,32.2,23.2,18.7,3.041437388,1.452806197,estrus,highE,brain
24F,57.2307,16.8,21.2,20.5,2.86536574,1.300463112,proestrus,highE,brain
25F,25.7378,9.5,20.3,21.4,2.592090636,1.586935713,estrus,highE,brain
26F,23.9826,10.8,21.7,20,3.345616323,1.234592229,estrus,highE,brain
27F,42.9962,18.1,21.1,19.3,3.807112188,1.521651089,metestrus,lowE,brain
28F,32.976,9.3,19.6,20.8,2.982350152,1.238826429,metestrus,lowE,brain
29F,22.0195,10.1,21.4,19.1,2.764699407,0.990378359,metestrus,lowE,brain
30F,24.2505,11.6,19.5,20.9,3.16241235,1.068378055,estrus,highE,brain
31F,63.1233,21,22.5,19.5,4.375260703,1.497330499,PE,highE,brain
32F,70.8384,25.8,21.2,20.7,3.649019703,1.432721982,diestrus,lowE,brain
33F,55.0222,22.1,21.8,20.1,3.555467366,1.544489182,diestrus,lowE,brain
34F,53.5313,25.5,22.2,19.8,3.289755531,1.711689923,estrus,highE,brain
1M,104.7333,3.8,27.2,20.55,1.078276518,1.229819732,male,male,retina
2M,86.2347,5,30.1,18.57,1.004589316,0.919651248,male,male,retina
4M,88.3202,4,25.8,21.67,1.422812663,1.098459308,male,male,retina
5M,99.2028,4.3,26.1,20,1.192544656,0.996162805,male,male,retina
6M,97.7141,7,27.3,19.12,0.868395066,0.881014544,male,male,retina
7M,99.8877,5.2,26.2,19.92,1.044007511,1.155340029,male,male,retina
8M,119.6988,5.7,23.7,22.03,0.782192123,0.818445327,male,male,retina
9M,74.6145,5.7,27.2,19.19,0.767228129,0.9699258,male,male,retina
18F,84.9179,4.9,21.3,20.38,1.127260189,0.863524486,estrus,highE,retina
19F,51.9343,4.7,22.9,18.95,1.232557969,0.889468175,estrus,highE,retina
20F,119.3678,3.8,20.9,20.77,1.499620516,1.096510037,proestrus,highE,retina
21F,117.5767,5.3,20.4,21.27,1.230780576,0.874018395,proestrus,highE,retina
22F,77.379,5.1,23.2,18.71,0.961484521,0.821536825,estrus,highE,retina
24F,114.9038,5,21.2,20.47,1.034941564,0.972564276,proestrus,highE,retina
25F,93.1777,5.4,20.3,21.38,0.811563882,1.007281644,estrus,highE,retina
26F,61.581,4,21.7,20,1.090871717,0.759597613,estrus,highE,retina
27F,80.2655,4.3,21.1,19.34,0.901371494,1.096140491,metestrus,lowE,retina
28F,125.57,3.6,19.6,20.82,1.081827106,1.293223818,metestrus,lowE,retina
29F,112.1923,5.3,21.4,19.07,1.091349463,1.047117282,metestrus,lowE,retina
30F,107.6408,4.8,19.5,20.92,0.912687582,0.736037459,estrus,highE,retina
31F,146.1486,4.1,22.5,19.51,1.220380947,0.905012275,PE,highE,retina
32F,100.0052,4,21.2,20.71,1.300138971,0.880759788,diestrus,lowE,retina
33F,104.3988,5.2,21.8,20.14,1.138650236,0.960723937,diestrus,lowE,retina
34F,107.5554,3.5,22.2,19.77,1.07532886,0.879661853,estrus,highE,retina
