Sample,Pgp RGE,Bcrp RGE
Fhi10-hyp,4.375260703,1.497330499
Fhi10-ret,1.220380947,0.905012275
Fhi11-hyp,3.289755531,1.711689923
Fhi11-ret,1.07532886,0.879661853
Fhi1-hyp,3.113240528,1.392407745
Fhi1-ret,1.127260189,0.863524486
Fhi2-hyp,3.27642972,1.464734137
Fhi2-ret,1.232557969,0.889468175
Fhi3-hyp,3.427085719,1.366427156
Fhi3-ret,1.499620516,1.096510037
Fhi4-hyp,3.623123556,1.396091721
Fhi4-ret,1.230780576,0.874018395
Fhi5-hyp,3.041437388,1.452806197
Fhi5-ret,0.961484521,0.821536825
Fhi6-hyp,2.86536574,1.300463112
Fhi6-ret,1.034941564,0.972564276
Fhi7-hyp,2.592090636,1.586935713
Fhi7-ret,0.811563882,1.007281644
Fhi8-hyp,3.345616323,1.234592229
Fhi8-ret,1.090871717,0.759597613
Fhi9-hyp,3.16241235,1.068378055
Fhi9-ret,0.912687582,0.736037459
Flo1-hyp,3.807112188,1.521651089
Flo1-ret,0.901371494,1.096140491
Flo2-hyp,2.982350152,1.238826429
Flo2-ret,1.081827106,1.293223818
Flo3-hyp,2.764699407,0.990378359
Flo3-ret,1.091349463,1.047117282
Flo4-hyp,3.649019703,1.432721982
Flo4-ret,1.300138971,0.880759788
Flo5-hyp,3.555467366,1.544489182
Flo5-ret,1.138650236,0.960723937
M1-hyp,2.42902746,1.036697041
M1-ret,1.078276518,1.229819732
M2-hyp,2.699339891,1.248705985
M2-ret,1.004589316,0.919651248
M4-hyp,2.9235968,1.150554548
M4-ret,1.422812663,1.098459308
M5-hyp,2.770560244,0.986045068
M5-ret,1.192544656,0.996162805
M6-hyp,2.464103338,1.204659421
M6-ret,0.868395066,0.881014544
M7-hyp,2.381759232,1.140783618
M7-ret,1.044007511,1.155340029
M8-hyp,3.160079815,1.25025815
M8-ret,0.782192123,0.818445327
M9-hyp,2.716076363,1.410455803
M9-ret,0.767228129,0.9699258
