Sample,Pgp RGE,Bcrp RGE
C1-hyp,1.7701376,1.616012565
C1-ret,0.420764322,0.891891896
C2-hyp,1.751489868,1.626327218
C2-ret,0.938722867,1.21546366
C3-hyp,1.234432752,2.371565159
C3-ret,0.734390581,1.016679808
C4-hyp,1.865005781,1.920680873
C4-ret,0.686952928,0.996308557
C5-hyp,1.372799211,1.226127965
C5-ret,1.225808495,0.976621841
C6-hyp,1.495863839,1.551880673
C6-ret,0.787669726,1.076872575
C7-hyp,2.030120542,1.402004755
C7-ret,1.176887566,0.915791043
Fhi10-hyp,6.75372982,2.237985148
Fhi10-ret,1.883801618,1.352676667
Fhi11-hyp,5.078124834,2.558377476
Fhi11-ret,1.659896651,1.314786657
Fhi1-hyp,4.805653152,2.081162345
Fhi1-ret,1.740058769,1.29066694
Fhi2-hyp,5.057554877,2.189264992
Fhi2-ret,1.902598286,1.329443677
Fhi3-hyp,5.290110142,2.042330455
Fhi3-ret,2.314840757,1.638898813
Fhi4-hyp,5.592717615,2.0866686
Fhi4-ret,1.89985467,1.306351662
Fhi5-hyp,4.694816557,2.171436896
Fhi5-ret,1.484164515,1.227910079
Fhi6-hyp,4.423029246,1.943737291
Fhi6-ret,1.597554107,1.45364327
Fhi7-hyp,4.001196961,2.371913588
Fhi7-ret,1.252744364,1.505533587
Fhi8-hyp,5.164352542,1.845283371
Fhi8-ret,1.68388888,1.135332631
Fhi9-hyp,4.881555648,1.596851343
Fhi9-ret,1.408840697,1.100118445
Flo1-hyp,5.876725723,2.274335918
Flo1-ret,1.391372983,1.63834647
Flo2-hyp,4.603608453,1.851612019
Flo2-ret,1.669927459,1.932917081
Flo3-hyp,4.267638912,1.480269091
Flo3-ret,1.684626338,1.565073927
Flo4-hyp,5.632691366,2.141418022
Flo4-ret,2.006917516,1.316427685
Flo5-hyp,5.488282323,2.308470876
Flo5-ret,1.757640648,1.435946108
M1-hyp,3.749489758,1.549499313
M1-ret,1.664446709,1.838150158
M2-hyp,4.166748807,1.866378498
M2-ret,1.550701839,1.374556809
M4-hyp,4.512915739,1.719676445
M4-ret,2.196278796,1.64181229
M5-hyp,4.276685805,1.473792338
M5-ret,1.840833028,1.488914813
M6-hyp,3.803633504,1.800544298
M6-ret,1.340469986,1.316808456
M7-hyp,3.676525685,1.705072323
M7-ret,1.611548463,1.726829065
M8-hyp,4.877955105,1.868698441
M8-ret,1.207405598,1.223289372
M9-hyp,4.192583522,2.108137875
M9-ret,1.184306912,1.449699673
S1-hyp,1.801688844,1.556563564
S1-ret,1.020072817,1.040749256
S2-hyp,1.368968618,1.861546907
S2-ret,0.822235535,1.078427362
S3-hyp,1.55822381,1.184203383
S3-ret,1.008123189,0.866057824
S4-hyp,1.037904714,1.252324702
S4-ret,0.777656511,1.020096158
S5-hyp,1.616323908,1.270465828
S5-ret,0.810933641,0.913926876
S6-hyp,1.720688211,1.159716763
S6-ret,1.083566559,0.943693447
S7-hyp,2.326041226,1.642772324
S7-ret,1.435787439,1.245335147
S8-hyp,2.069600498,1.632794808
S8-ret,1.067929564,1.045642377
S9-hyp,2.433941432,1.416875665
S9-ret,1.128749307,0.8979728
calib,2.786634602,1.124095736
