Sample,Abc-RGE,Bcrp-RGE
82-hyp,1.712355658,1.030638968
82-ret,0.846348009,1.00445142
83-hyp,2.461896448,1.143714189
83-ret,0.92394392,0.96924213
84-hyp,2.132581635,1.002833957
84-ret,1.098930114,0.995030882
92-hyp,2.230740507,1.068081124
92-ret,1.070841453,0.951183731
93-hyp,2.254664361,1.131989822
93-ret,1.086701239,1.08527002
M1-hyp,1.917095597,1.032884819
M1-ret,0.657579159,0.981033517
M2-hyp,2.071396801,1.20281472
M2-ret,0.716064566,1.134184475
M4-hyp,2.09735666,0.942533145
M4-ret,0.934600933,1.331750723
M5-hyp,1.772602609,1.010185135
M5-ret,0.756019905,1.423698846
M6-hyp,1.572128274,1.020342742
M6-ret,0.579573717,0.877438855
M8-hyp,2.238835866,1.339671761
M8-ret,0.534063123,0.844473854
M9-hyp,2.32691041,1.375715452
M9-ret,0.640907448,1.176472753
